timestamp,dataset,row_identifier,column,original_value,new_value,action,reason
2026-08-13 08:39:33,data penyakit,Row 26,januari/februari,33,33,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 27,januari/februari,34,34,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 28,januari/februari,45,45,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 29,januari/februari,24,24,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 30,januari/februari,372,372,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 31,januari/februari,238,238,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 32,januari/februari,44,44,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 33,januari/februari,101,101,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 34,januari/februari,11,11,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 35,januari/februari,2,2,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 36,januari/februari,1,1,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 37,januari/februari,2,2,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 38,januari/februari,78,78,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 39,januari/februari,66,66,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 40,januari/februari,3,3,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 41,januari/februari,177,177,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 42,januari/februari,162,162,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 43,januari/februari,26,26,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 44,januari/februari,5,5,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 45,januari/februari,126,126,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 46,januari/februari,19,19,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 47,januari/februari,78,78,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 48,januari/februari,72,72,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 49,januari/februari,74,74,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 50,januari/februari,152,152,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 51,januari/februari,533,533,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 52,januari/februari,376,376,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 53,januari/februari,121,121,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 54,januari/februari,171,171,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 55,januari/februari,70,70,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 56,januari/februari,8,8,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 57,januari/februari,2,2,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 58,januari/februari,1,1,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 59,januari/februari,122,122,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 60,januari/februari,84,84,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 61,januari/februari,5,5,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 62,januari/februari,339,339,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 63,januari/februari,6,6,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 64,januari/februari,3,3,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 65,januari/februari,1,1,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 66,januari/februari,5,5,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 67,januari/februari,5,5,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 68,januari/februari,1,1,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 69,januari/februari,14,14,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 70,januari/februari,2,2,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 71,januari/februari,8,8,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 72,januari/februari,12,12,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 73,januari/februari,173,173,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 74,januari/februari,4,4,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 75,januari/februari,8,8,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 76,januari/februari,6,6,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 77,januari/februari,1,1,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 78,januari/februari,0,0,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 79,januari/februari,2,2,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 80,januari/februari,16,16,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 81,januari/februari,6,6,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 82,januari/februari,0,0,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 83,januari/februari,44,44,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 84,januari/februari,141,141,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 85,januari/februari,12,12,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 86,januari/februari,6,6,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 87,januari/februari,61,61,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 88,januari/februari,14,14,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 89,januari/februari,24,24,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 90,januari/februari,63,63,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 91,januari/februari,70,70,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 92,januari/februari,80,80,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 93,januari/februari,578,578,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 94,januari/februari,462,462,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 95,januari/februari,111,111,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 96,januari/februari,183,183,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 97,januari/februari,35,35,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 98,januari/februari,2,2,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 99,januari/februari,1,1,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 100,januari/februari,1,1,suspected_shifted_february,anomaly fix
