kecamatan,healthcare_gap_score,priority_category,priority_rank,demand_score,workforce_gap,facility_gap,disease_need_score,accessibility_gap,primary_root_cause,secondary_root_cause,tertiary_root_cause,root_cause_type,root_cause_confidence,root_cause_margin,workforce_issue,facility_issue,demand_issue,disease_issue,accessibility_issue,explanation,data_quality_status
Pakal,49.53210184907949,Tinggi,21,0.1194062347051261,0.869089479849333,0.848266798957192,0.1455947216650936,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,MULTI_FACTOR,MEDIUM,0.02082268089214101,Low Nurse Ratio,Low Puskesmas Ratio,High Disease Burden,Penyakit pada sistem pencernaan (7971 cases),NOT_AVAILABLE,"Kecamatan Pakal memiliki Healthcare Gap Score sebesar 49.5 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.87), 2. Facility Capacity Gap (0.85), 3. Disease Burden Need (0.15). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.87. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Simokerto,48.194487763367675,Tinggi,22,0.3563717506916537,0.6305770787655379,0.49623067936693094,0.4330704646156655,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.13434639939860699,Low Nakes Ratio,Low Faskes Ratio,High Service Pressure,Penyakit pada sistem pernafasan (15444 cases),NOT_AVAILABLE,"Kecamatan Simokerto memiliki Healthcare Gap Score sebesar 48.2 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.63), 2. Facility Capacity Gap (0.50), 3. Disease Burden Need (0.43). Indikator paling menonjol dalam model adalah Low Nakes Ratio, dengan sub-skor 0.63. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Sukolilo,47.255671676053105,Tinggi,23,0.40470639397566877,0.45108009555220996,0.5791100509728583,0.49999379853797876,0.0,FACILITY_SHORTAGE,DISEASE_BURDEN,WORKFORCE_SHORTAGE,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.07911625243487952,Low Nurse Ratio,Low Bed Capacity,High Disease Burden,Penyakit pada sistem pernafasan (17373 cases),NOT_AVAILABLE,"Kecamatan Sukolilo memiliki Healthcare Gap Score sebesar 47.3 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.58), 2. Disease Burden Need (0.50), 3. Workforce Shortage Gap (0.45). Indikator paling menonjol dalam model adalah Low Bed Capacity, dengan sub-skor 0.58. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",COMPLETE
Wonokromo,44.3200025423592,Tinggi,24,0.6279854153409619,0.17208388849293763,0.6243840631366754,0.3915121082304355,0.0,HIGH_DEMAND,FACILITY_SHORTAGE,DISEASE_BURDEN,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.0036013522042864787,Low Nakes Ratio,Low Puskesmas Ratio,High Service Pressure,Penyakit pada sistem pencernaan (19746 cases),NOT_AVAILABLE,"Kecamatan Wonokromo memiliki Healthcare Gap Score sebesar 44.3 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. High Demand Score (0.63), 2. Facility Capacity Gap (0.62), 3. Disease Burden Need (0.39). Indikator paling menonjol dalam model adalah High Service Pressure, dengan sub-skor 0.63. Temuan ini menunjukkan adanya indikasi tingginya volume populasi atau jumlah kunjungan puskesmas yang memberikan tekanan berat pada fasilitas setempat.",COMPLETE
Sambikerep,44.20250554510375,Tinggi,25,0.17463136154435283,0.6403585872659472,0.6496987483884391,0.3379416056512982,0.0,FACILITY_SHORTAGE,WORKFORCE_SHORTAGE,DISEASE_BURDEN,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.009340161122491919,Low Nurse Ratio,Low Bed Capacity,High Disease Burden,Penyakit pada sistem pernafasan (9185 cases),NOT_AVAILABLE,"Kecamatan Sambikerep memiliki Healthcare Gap Score sebesar 44.2 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.65), 2. Workforce Shortage Gap (0.64), 3. Disease Burden Need (0.34). Indikator paling menonjol dalam model adalah Low Bed Capacity, dengan sub-skor 0.65. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",COMPLETE
Gayungan,44.09564885814567,Tinggi,26,0.3670758498728221,0.3293959689057466,0.5167841925557122,0.6432905221837185,0.0,DISEASE_BURDEN,FACILITY_SHORTAGE,HIGH_DEMAND,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.12650632962800634,Low Nurse Ratio,Low Puskesmas Ratio,High Service Pressure,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (10213 cases),NOT_AVAILABLE,"Kecamatan Gayungan memiliki Healthcare Gap Score sebesar 44.1 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Disease Burden Need (0.64), 2. Facility Capacity Gap (0.52), 3. High Demand Score (0.37). Indikator paling menonjol dalam model adalah High caseload of Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan, dengan sub-skor 0.64. Temuan ini menunjukkan adanya indikasi besarnya prevalensi kasus penyakit masyarakat (terutama ISPA) yang memerlukan intervensi preventif dan promotif.",COMPLETE
Tenggilis Mejoyo,43.217976171917186,Tinggi,27,0.18450710723035435,0.5731131236989055,0.7549401784928053,0.26952828370916404,0.0,FACILITY_SHORTAGE,WORKFORCE_SHORTAGE,DISEASE_BURDEN,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.1818270547938997,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (7490 cases),NOT_AVAILABLE,"Kecamatan Tenggilis Mejoyo memiliki Healthcare Gap Score sebesar 43.2 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.75), 2. Workforce Shortage Gap (0.57), 3. Disease Burden Need (0.27). Indikator paling menonjol dalam model adalah Low Bed Capacity, dengan sub-skor 0.75. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",COMPLETE
Dukuh Pakis,42.687310027694,Tinggi,28,0.27968972170436723,0.6793950016398046,0.59721012429095,0.09852829207749217,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,HIGH_DEMAND,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.0821848773488546,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pencernaan (6492 cases),NOT_AVAILABLE,"Kecamatan Dukuh Pakis memiliki Healthcare Gap Score sebesar 42.7 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.68), 2. Facility Capacity Gap (0.60), 3. High Demand Score (0.28). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.68. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Pabean Cantian,38.90511259460331,Sedang,29,0.2506393601154962,0.4744635410937792,0.6976978051222728,0.15990347279397957,0.0,FACILITY_SHORTAGE,WORKFORCE_SHORTAGE,HIGH_DEMAND,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.22323426402849356,Low Nakes Ratio,Low Puskesmas Ratio,High Service Pressure,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (6820 cases),NOT_AVAILABLE,"Kecamatan Pabean Cantian memiliki Healthcare Gap Score sebesar 38.9 dan termasuk kategori Sedang. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.70), 2. Workforce Shortage Gap (0.47), 3. High Demand Score (0.25). Indikator paling menonjol dalam model adalah Low Puskesmas Ratio, dengan sub-skor 0.70. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",COMPLETE
Gubeng,36.47274973619285,Sedang,30,0.380390265022883,0.0461987052925416,0.6053069250881806,0.5784471062483251,0.0,FACILITY_SHORTAGE,DISEASE_BURDEN,HIGH_DEMAND,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.026859818839855554,Low Midwife Ratio,Low Puskesmas Ratio,High Disease Burden,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (29273 cases),NOT_AVAILABLE,"Kecamatan Gubeng memiliki Healthcare Gap Score sebesar 36.5 dan termasuk kategori Sedang. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.61), 2. Disease Burden Need (0.58), 3. High Demand Score (0.38). Indikator paling menonjol dalam model adalah Low Puskesmas Ratio, dengan sub-skor 0.61. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",COMPLETE
