kecamatan,jumlah_penduduk,kepadatan_penduduk,total_kunjungan,visits_per_1000,total_tenaga_kesehatan,nakes_per_1000,jumlah_perawat,perawat_per_1000,jumlah_bidan,bidan_per_1000,jumlah_tenaga_medis,doctors_per_1000,total_faskes,faskes_per_100k,jumlah_puskesmas,puskesmas_per_100k,jumlah_pustu,pustu_per_100k,total_tempat_tidur,beds_per_1000,total_kasus_penyakit,disease_per_1000,workforce_growth,demand_growth,workforce_demand_mismatch,jenis_penyakit_dominan,kasus_penyakit_tertinggi,jumlah_jenis_penyakit,distance_to_facility,travel_time,accessibility_gap
Kenjeran,185.3,21774,202317.0,1091.8348623853212,252.0,1.3599568267674043,47,0.25364274150026983,58,0.3130059363194819,57,0.3076092822450081,22,11.872638963842418,4,2.1586616297895307,0.0,0.0,23.0,0.124123043712898,146591,791.1009174311927,,,,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,29064,21,,,
Krembangan,114.9,13357,127170.0,1106.7885117493472,669.0,5.822454308093995,231,2.010443864229765,62,0.5395996518711923,209,1.8189730200174064,22,19.14708442123586,3,2.6109660574412534,0.0,0.0,30.0,0.2610966057441253,98813,859.9912967798085,,,,Penyakit pada sistem pernafasan,26794,21,,,
Lakarsantri,65.0,3440,77984.0,1199.753846153846,237.0,3.646153846153846,40,0.6153846153846154,34,0.5230769230769231,77,1.1846153846153846,30,46.15384615384615,3,4.615384615384615,0.0,0.0,25.0,0.38461538461538464,58965,907.1538461538462,,,,Penyakit pada sistem pernafasan,14667,21,,,
Mulyorejo,88.2,5079,67353.0,763.639455782313,3122.0,35.3968253968254,1220,13.832199546485262,181,2.052154195011338,893,10.124716553287982,74,83.90022675736961,2,2.2675736961451247,0.0,0.0,550.0,6.2358276643990935,53760,609.5238095238096,,,,Penyakit pada sistem pernafasan,11632,21,,,
Pabean Cantian,73.9,13491,62895.0,851.0825439783491,1931.0,26.129905277401896,776,10.500676589986469,142,1.9215155615696886,511,6.914749661705007,32,43.301759133964815,1,1.3531799729364005,0.0,0.0,460.0,6.2246278755074425,33621,454.9526387009472,,,,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,6820,21,,,
Pakal,64.5,3474,46998.0,728.6511627906976,454.0,7.038759689922481,150,2.3255813953488373,56,0.8682170542635659,118,1.8294573643410854,9,13.953488372093023,1,1.550387596899225,0.0,0.0,144.0,2.2325581395348837,28599,443.3953488372093,,,,Penyakit pada sistem pencernaan,7971,21,,,
Rungkut,123.7,5397,114949.0,929.2562651576395,1029.0,8.31851253031528,330,2.6677445432497975,127,1.0266774454324978,259,2.093775262732417,62,50.12126111560226,2,1.6168148746968474,0.0,0.0,146.0,1.1802748585286984,95826,774.6645109135004,,,,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,20131,21,,,
Sambikerep,69.1,4023,53769.0,778.1331403762663,1227.0,17.756874095513748,373,5.397973950795947,101,1.4616497829232995,412,5.962373371924747,30,43.41534008683068,2,2.8943560057887123,0.0,0.0,64.0,0.9261939218523879,41374,598.7554269175108,,,,Penyakit pada sistem pernafasan,9185,21,,,
Sawahan,198.5,27648,185816.0,936.1007556675063,992.0,4.997481108312343,266,1.3400503778337531,74,0.3727959697732997,271,1.3652392947103273,44,22.16624685138539,4,2.0151133501259446,0.0,0.0,119.0,0.5994962216624685,122544,617.3501259445844,,,,Penyakit pada sistem pernafasan,25591,21,,,
Semampir,183.3,20254,166534.0,908.5324604473541,652.0,3.5570103655210037,225,1.227495908346972,77,0.420076377523186,147,0.8019639934533551,27,14.729950900163667,4,2.182214948172395,0.0,0.0,100.0,0.5455537370430987,128354,700.2400436442989,,,,Penyakit pada sistem pernafasan,36331,21,,,
